111111,4,1,2,8
111112,10,5,5,3
111113,9,1,1,1
111114,8,9,3,1
111115,1,10,4,10
111116,9,8,7,1
111117,4,10,3,8
111118,2,6,2,2
111119,5,9,1,1
111120,8,6,7,6
111121,3,6,9,5
111122,4,8,3,8
111123,4,1,4,10
111124,3,7,6,8
111125,8,5,5,1
111126,10,8,4,3
111127,7,6,2,3
111128,10,7,8,7
111129,7,1,3,5
111130,4,5,8,1
111131,1,10,6,6
111132,9,3,4,8
111133,1,3,5,10
111134,5,1,9,5
111135,4,8,7,6
111136,1,5,2,7
111137,1,8,9,9
111138,8,7,4,2
111139,3,10,9,9
111140,5,6,3,4
111141,8,4,2,4
111142,7,7,4,2
111143,1,9,1,5
111144,2,9,10,10
111145,2,3,2,9
111146,10,9,4,9
111147,2,6,3,8
111148,6,3,7,1
111149,7,4,2,3
111150,2,5,10,3
111151,5,8,4,3
111152,1,5,6,4
111153,4,10,10,3
111154,10,9,8,4
111155,10,10,6,7
111156,1,5,4,10
111157,4,3,2,8
111158,4,2,10,3
111159,4,8,7,7
111160,3,2,6,7
