111161,2,10,2,10
111162,8,3,10,3
111163,7,8,2,10
111164,9,3,10,2
111165,5,2,1,1
111166,10,8,3,10
111167,9,5,10,7
111168,8,2,6,8
111169,2,1,1,1
111170,7,10,4,6
111171,4,8,1,1
111172,9,7,8,4
111173,7,5,2,8
111174,2,6,7,8
111175,9,7,10,6
111176,1,1,3,1
111177,2,8,7,7
111178,5,4,10,8
111179,8,4,6,9
111180,7,4,4,8
111181,5,2,2,10
111182,3,1,1,1
111183,5,10,9,7
111184,5,2,6,10
111185,6,7,8,6
111186,5,3,4,2
111187,8,8,9,4
111188,6,8,6,6
111189,5,1,8,1
111190,5,8,6,7
111191,2,7,8,7
111192,2,1,4,10
111193,10,3,4,7
111194,5,7,6,6
111195,2,10,3,7
111196,7,8,4,8
111197,2,5,10,2
111198,8,3,9,7
111199,5,8,6,7
111200,8,2,4,5
111201,7,8,3,2
111202,6,5,6,4
111203,4,6,1,3
111204,2,6,6,10
111205,10,2,10,1
111206,10,1,7,4
111207,6,4,5,8
111208,6,1,10,9
111209,1,8,3,10
111210,4,1,2,5
